College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Academic_Score,Skill_Score,Placement_Score,Placement_Readiness,Risk_Score,Risk_Level,Skill_Gap
CLG0058,96,6.37,6.82,2,No,0,7,0,No,2.83,2.67,3.14,LOW,6.86,HIGH,5.33
CLG0029,116,6.35,6.21,8,Yes,9,5,1,No,4.37,4.38,4.78,MEDIUM,5.22,MEDIUM,3.62
CLG0038,135,9.1,9.48,9,No,7,6,3,Yes,8.75,6.02,7.51,HIGH,2.49,LOW,1.98
CLG0084,88,8.55,8.17,2,No,1,7,0,No,5.12,2.87,4.0,LOW,6.0,HIGH,5.13
CLG0088,79,9.91,10.0,2,No,2,2,0,No,7.28,0.84,3.9,LOW,6.1,HIGH,7.16
CLG0087,104,8.56,8.66,4,No,6,10,0,No,6.15,5.2,5.62,MEDIUM,4.38,MEDIUM,2.8
CLG0022,110,7.09,7.45,8,No,1,4,1,No,5.72,2.33,4.4,MEDIUM,5.6,MEDIUM,5.67
CLG0086,96,8.49,7.99,5,No,3,6,2,No,5.95,4.42,5.09,MEDIUM,4.91,MEDIUM,3.58
CLG0041,121,10.0,9.69,5,No,6,3,5,Yes,8.11,6.09,7.05,HIGH,2.95,LOW,1.91
CLG0084,79,8.55,8.27,7,Yes,2,6,5,No,6.86,6.62,6.04,HIGH,3.96,LOW,1.38
CLG0063,110,8.81,9.26,4,Yes,1,10,0,No,6.74,4.2,5.56,MEDIUM,4.44,MEDIUM,3.8
CLG0038,90,9.69,9.34,9,No,7,1,0,No,9.0,1.4,5.0,MEDIUM,5.0,MEDIUM,6.6
CLG0050,125,5.57,5.11,4,Yes,1,8,2,Yes,1.76,4.91,4.1,LOW,5.9,HIGH,3.09
CLG0007,129,8.52,8.55,8,Yes,9,10,5,Yes,7.38,9.8,8.38,HIGH,1.62,LOW,0.0
CLG0024,88,9.25,9.28,3,No,6,5,2,No,6.69,4.58,5.31,MEDIUM,4.69,MEDIUM,3.42
CLG0046,91,9.77,10.0,6,No,10,1,4,No,8.53,5.2,6.35,HIGH,3.65,LOW,2.8
CLG0025,112,6.05,6.5,1,No,2,10,0,No,2.07,4.4,3.8,LOW,6.2,HIGH,3.6
CLG0078,94,7.52,7.56,7,No,3,10,5,No,5.72,8.6,6.63,HIGH,3.37,LOW,0.0
CLG0029,99,8.4,8.83,7,Yes,5,1,3,No,7.18,3.4,5.22,MEDIUM,4.78,MEDIUM,4.6
CLG0067,100,6.24,6.47,2,No,10,10,4,No,2.49,9.2,5.68,MEDIUM,4.32,MEDIUM,0.0
CLG0093,71,8.0,7.76,5,No,2,3,3,No,5.49,3.69,4.18,LOW,5.82,HIGH,4.31
CLG0080,99,6.29,6.72,4,Yes,0,6,2,No,3.37,3.82,3.87,LOW,6.13,HIGH,4.18
CLG0085,89,6.67,6.84,10,No,7,2,5,No,5.69,5.84,5.43,MEDIUM,4.57,MEDIUM,2.16
CLG0022,92,7.21,7.12,9,No,3,8,4,No,5.88,6.91,5.99,HIGH,4.01,LOW,1.09
CLG0085,121,7.65,7.83,2,No,0,10,1,No,4.33,4.8,5.02,MEDIUM,4.98,MEDIUM,3.2
CLG0086,81,7.25,7.15,3,No,1,7,4,No,3.93,6.07,4.68,MEDIUM,5.32,MEDIUM,1.93
CLG0009,112,7.47,7.08,1,No,5,2,4,No,3.34,4.64,4.41,MEDIUM,5.59,MEDIUM,3.36
CLG0087,95,6.49,6.71,10,No,0,1,2,No,5.48,1.6,3.76,LOW,6.24,HIGH,6.4
CLG0049,95,5.79,6.11,5,Yes,8,7,0,No,2.96,4.27,3.82,LOW,6.18,HIGH,3.73
CLG0073,111,5.24,5.47,3,No,6,7,2,No,1.49,5.47,3.98,LOW,6.02,HIGH,2.53
CLG0096,105,5.98,5.71,4,Yes,7,3,2,No,2.45,3.89,3.63,LOW,6.37,HIGH,4.11
CLG0036,108,7.91,8.37,4,No,7,10,2,Yes,5.55,7.0,6.17,HIGH,3.83,LOW,1.0
CLG0100,114,8.93,8.46,6,No,5,8,3,Yes,6.9,6.51,6.61,HIGH,3.39,LOW,1.49
CLG0005,95,5.85,5.68,10,No,7,8,5,No,4.35,8.51,6.07,HIGH,3.93,LOW,0.0
CLG0090,90,5.54,5.3,7,No,6,5,1,No,2.88,3.78,3.5,LOW,6.5,HIGH,4.22
CLG0004,83,8.75,8.3,7,Yes,0,7,3,No,7.0,5.07,5.55,MEDIUM,4.45,MEDIUM,2.93
CLG0024,87,6.53,6.44,8,No,2,3,4,No,4.64,4.49,4.44,MEDIUM,5.56,MEDIUM,3.51
CLG0041,144,9.76,9.88,3,Yes,8,6,2,Yes,7.43,5.42,6.9,HIGH,3.1,LOW,2.58
CLG0014,118,8.57,8.95,5,Yes,7,3,5,Yes,6.71,6.29,6.52,HIGH,3.48,LOW,1.71
CLG0091,79,6.63,7.12,10,No,4,9,0,No,5.87,4.36,4.74,MEDIUM,5.26,MEDIUM,3.64
CLG0012,80,6.45,6.76,6,No,0,7,2,No,4.16,4.27,4.04,LOW,5.96,HIGH,3.73
CLG0082,107,7.62,7.59,6,No,1,1,3,No,5.47,2.6,4.36,MEDIUM,5.64,MEDIUM,5.4
CLG0044,108,5.4,5.62,8,Yes,9,8,5,No,3.36,8.91,6.05,HIGH,3.95,LOW,0.0
CLG0009,108,5.59,5.93,5,No,9,9,1,No,2.71,6.16,4.69,MEDIUM,5.31,MEDIUM,1.84
CLG0066,96,5.88,5.85,5,Yes,8,10,3,No,2.82,8.0,5.27,MEDIUM,4.73,MEDIUM,0.0
CLG0038,98,8.87,9.16,1,Yes,9,2,2,No,5.71,3.84,4.79,MEDIUM,5.21,MEDIUM,4.16
CLG0096,104,7.57,7.55,1,No,7,1,5,No,3.75,5.4,4.74,MEDIUM,5.26,MEDIUM,2.6
CLG0077,101,5.05,4.94,6,Yes,8,4,1,No,1.99,3.73,3.31,LOW,6.69,HIGH,4.27
CLG0057,66,8.37,8.4,10,Yes,1,9,0,No,7.85,3.76,5.07,MEDIUM,4.93,MEDIUM,4.24
CLG0047,96,7.12,7.3,10,No,2,6,3,No,6.29,5.02,5.46,MEDIUM,4.54,MEDIUM,2.98
CLG0055,87,7.55,7.78,5,Yes,2,10,5,No,5.24,8.4,6.24,HIGH,3.76,LOW,0.0
CLG0088,102,6.07,5.93,10,Yes,0,8,3,No,4.66,5.51,5.11,MEDIUM,4.89,MEDIUM,2.49
CLG0002,144,7.76,7.83,6,No,1,7,5,No,5.73,6.87,6.8,HIGH,3.2,LOW,1.13
CLG0083,105,9.9,10.0,9,No,9,5,4,No,9.61,6.78,7.65,HIGH,2.35,LOW,1.22
CLG0018,95,5.37,5.85,8,No,4,5,5,No,3.52,6.58,4.96,MEDIUM,5.04,MEDIUM,1.42
CLG0066,113,6.42,6.15,7,Yes,6,6,1,No,4.03,4.22,4.53,MEDIUM,5.47,MEDIUM,3.78
CLG0090,107,6.21,5.9,7,No,5,6,3,No,3.72,5.62,4.86,MEDIUM,5.14,MEDIUM,2.38
CLG0057,106,6.24,6.42,6,No,1,5,4,No,3.79,5.18,4.7,MEDIUM,5.3,MEDIUM,2.82
CLG0064,109,6.89,6.8,6,Yes,7,8,0,No,4.46,4.51,4.75,MEDIUM,5.25,MEDIUM,3.49
CLG0088,130,9.09,8.61,1,No,3,3,5,Yes,5.44,5.49,5.89,MEDIUM,4.11,MEDIUM,2.51
CLG0027,83,9.56,9.41,7,No,10,9,3,Yes,8.3,7.96,7.22,HIGH,2.78,LOW,0.04
CLG0053,107,6.01,6.32,5,No,1,5,3,No,3.24,4.38,4.18,LOW,5.82,HIGH,3.62
CLG0059,86,7.71,8.01,7,No,3,9,2,Yes,6.17,5.76,5.54,MEDIUM,4.46,MEDIUM,2.24
CLG0029,108,8.18,8.17,6,No,7,5,3,No,6.23,5.58,5.87,MEDIUM,4.13,MEDIUM,2.42
CLG0072,86,7.61,7.58,8,No,0,3,0,No,6.13,0.89,3.58,LOW,6.42,HIGH,7.11
CLG0095,93,7.17,7.25,3,Yes,10,9,5,No,3.95,9.56,6.29,HIGH,3.71,LOW,0.0
CLG0098,95,5.96,5.68,8,Yes,8,2,4,No,3.74,5.24,4.52,MEDIUM,5.48,MEDIUM,2.76
CLG0014,114,7.44,7.47,7,No,7,5,5,No,5.61,7.18,6.36,HIGH,3.64,LOW,0.82
CLG0068,113,7.01,6.52,1,No,7,3,1,No,2.66,3.09,3.53,LOW,6.47,HIGH,4.91
CLG0043,81,8.98,8.96,3,No,9,7,0,No,6.29,4.47,4.99,MEDIUM,5.01,MEDIUM,3.53
CLG0029,100,8.82,8.66,10,Yes,8,4,1,No,8.31,3.73,5.82,MEDIUM,4.18,MEDIUM,4.27
CLG0057,89,5.67,5.84,4,No,6,8,0,No,2.35,4.31,3.48,LOW,6.52,HIGH,3.69
CLG0033,81,5.44,5.58,9,Yes,10,1,5,No,3.69,6.0,4.56,MEDIUM,5.44,MEDIUM,2.0
CLG0021,96,9.54,9.42,6,No,8,5,5,No,7.97,7.38,7.08,HIGH,2.92,LOW,0.62
CLG0041,95,7.68,7.19,7,No,0,8,4,No,5.55,6.31,5.67,MEDIUM,4.33,MEDIUM,1.69
CLG0001,136,9.29,9.04,5,No,0,2,2,Yes,7.2,2.04,5.32,MEDIUM,4.68,MEDIUM,5.96
CLG0027,106,5.29,5.42,3,Yes,3,6,4,No,1.49,6.02,4.12,LOW,5.88,HIGH,1.98
CLG0002,79,7.63,7.2,5,Yes,1,7,5,No,4.86,6.87,5.34,MEDIUM,4.66,MEDIUM,1.13
CLG0064,91,7.7,7.31,7,No,7,6,1,No,5.65,4.42,4.88,MEDIUM,5.12,MEDIUM,3.58
CLG0051,115,9.3,9.45,9,No,0,10,1,Yes,8.84,4.8,6.72,HIGH,3.28,LOW,3.2
CLG0054,131,5.49,5.75,9,Yes,3,3,5,No,3.85,5.49,5.27,MEDIUM,4.73,MEDIUM,2.51
CLG0074,76,6.2,6.02,8,No,10,6,3,No,4.14,6.62,4.9,MEDIUM,5.1,MEDIUM,1.38
CLG0074,71,7.03,7.02,5,No,10,7,5,No,4.37,8.67,5.73,MEDIUM,4.27,MEDIUM,0.0
CLG0030,128,9.33,9.78,7,Yes,8,3,2,Yes,8.44,4.09,6.5,HIGH,3.5,LOW,3.91
CLG0001,105,9.69,10.0,4,Yes,1,10,4,Yes,7.81,7.4,7.18,HIGH,2.82,LOW,0.6
CLG0095,86,9.96,9.77,10,No,5,2,5,No,9.81,5.44,6.87,HIGH,3.13,LOW,2.56
CLG0099,108,9.8,10.0,5,Yes,3,3,4,No,8.21,4.69,6.31,HIGH,3.69,LOW,3.31
CLG0029,60,5.03,5.12,4,Yes,3,1,1,No,1.44,1.4,1.46,LOW,8.54,HIGH,6.6
CLG0013,100,5.24,5.72,3,No,5,7,2,No,1.68,5.27,3.79,LOW,6.21,HIGH,2.73
CLG0073,104,5.74,5.72,1,No,9,4,4,No,1.31,6.33,4.13,LOW,5.87,HIGH,1.67
CLG0043,113,6.74,7.01,5,No,3,3,2,No,4.19,3.09,4.14,LOW,5.86,HIGH,4.91
CLG0041,84,9.15,9.42,2,Yes,8,6,2,No,6.4,5.42,5.46,MEDIUM,4.54,MEDIUM,2.58
CLG0075,101,9.46,9.46,6,No,7,3,4,No,7.95,5.49,6.4,HIGH,3.6,LOW,2.51
CLG0088,86,5.93,6.23,5,No,7,10,5,No,3.13,9.4,5.78,MEDIUM,4.22,MEDIUM,0.0
CLG0089,103,8.1,7.86,2,Yes,4,3,2,No,4.63,3.29,4.23,LOW,5.77,HIGH,4.71
CLG0058,86,9.59,9.21,8,No,5,9,5,Yes,8.51,8.56,7.6,HIGH,2.4,LOW,0.0
CLG0077,93,7.32,7.25,5,No,0,2,0,No,4.71,0.44,2.95,LOW,7.05,HIGH,7.56
CLG0014,85,5.52,5.96,2,Yes,0,5,1,No,1.69,2.58,2.46,LOW,7.54,HIGH,5.42
CLG0041,109,7.29,7.29,1,Yes,8,10,2,No,3.39,7.2,5.4,MEDIUM,4.6,MEDIUM,0.8
CLG0067,112,6.88,7.02,2,No,3,10,2,Yes,3.28,6.2,5.01,MEDIUM,4.99,MEDIUM,1.8
CLG0054,96,7.89,8.01,1,Yes,2,2,0,No,4.28,0.84,2.99,LOW,7.01,HIGH,7.16
CLG0006,100,7.19,6.82,10,No,4,6,3,No,5.98,5.42,5.57,MEDIUM,4.43,MEDIUM,2.58
CLG0046,78,5.09,4.98,10,No,8,4,2,No,3.38,4.53,3.8,LOW,6.2,HIGH,3.47
CLG0077,95,9.97,10.0,3,No,8,7,4,No,7.65,7.47,6.97,HIGH,3.03,LOW,0.53
CLG0001,99,7.72,8.19,3,Yes,2,1,5,No,4.97,4.4,4.74,MEDIUM,5.26,MEDIUM,3.6
CLG0029,139,7.37,7.04,10,No,6,8,5,Yes,6.25,8.31,7.5,HIGH,2.5,LOW,0.0
CLG0078,83,9.77,9.68,1,No,2,2,3,No,6.63,3.24,4.67,MEDIUM,5.33,MEDIUM,4.76
CLG0076,121,5.78,5.38,7,Yes,2,4,5,No,3.08,5.73,4.89,MEDIUM,5.11,MEDIUM,2.27
CLG0026,114,5.95,5.69,10,No,3,7,5,No,4.41,7.27,5.92,MEDIUM,4.08,MEDIUM,0.73
CLG0058,104,9.04,8.92,7,No,1,8,5,Yes,7.63,7.31,7.05,HIGH,2.95,LOW,0.69
CLG0087,126,6.3,6.34,9,Yes,5,9,3,Yes,4.77,6.96,6.14,HIGH,3.86,LOW,1.04
CLG0003,105,9.0,8.73,5,Yes,4,5,0,No,6.8,2.58,4.85,MEDIUM,5.15,MEDIUM,5.42
CLG0060,105,6.36,6.09,4,Yes,9,9,4,No,2.95,8.56,5.7,MEDIUM,4.3,MEDIUM,0.0
CLG0014,99,5.17,5.45,5,No,9,9,5,No,2.1,9.36,5.58,MEDIUM,4.42,MEDIUM,0.0
CLG0098,118,7.59,8.05,8,No,1,3,3,Yes,6.46,3.49,5.3,MEDIUM,4.7,MEDIUM,4.51
CLG0023,116,5.98,5.8,8,Yes,9,7,2,No,3.84,6.07,5.25,MEDIUM,4.75,MEDIUM,1.93
CLG0062,90,8.79,8.98,4,No,1,8,0,No,6.53,3.31,4.77,MEDIUM,5.23,MEDIUM,4.69
CLG0010,80,8.21,7.97,8,Yes,1,1,0,No,6.77,0.2,3.45,LOW,6.55,HIGH,7.8
CLG0004,96,9.62,10.0,4,No,3,10,0,No,7.77,4.6,5.89,MEDIUM,4.11,MEDIUM,3.4
CLG0039,87,8.91,9.08,4,Yes,2,5,5,No,6.67,6.18,5.93,HIGH,4.07,MEDIUM,1.82
CLG0074,99,5.9,6.2,8,Yes,8,1,1,No,4.09,2.4,3.59,LOW,6.41,HIGH,5.6
CLG0088,118,9.0,8.55,2,No,4,3,3,Yes,5.67,4.09,5.22,MEDIUM,4.78,MEDIUM,3.91
CLG0034,93,8.21,8.31,4,No,0,2,5,No,5.69,4.44,4.94,MEDIUM,5.06,MEDIUM,3.56
CLG0088,99,8.34,8.37,1,No,1,2,4,No,4.81,3.84,4.45,MEDIUM,5.55,MEDIUM,4.16
CLG0025,100,9.16,8.95,1,No,6,4,4,No,5.73,5.73,5.59,MEDIUM,4.41,MEDIUM,2.27
CLG0052,112,7.87,7.63,8,No,7,5,1,No,6.32,3.98,5.33,MEDIUM,4.67,MEDIUM,4.02
CLG0015,66,7.33,7.41,4,No,5,1,5,No,4.5,5.0,4.23,LOW,5.77,HIGH,3.0
CLG0012,90,8.18,8.39,6,Yes,6,6,2,No,6.4,5.02,5.41,MEDIUM,4.59,MEDIUM,2.98
CLG0001,103,6.49,6.02,5,No,1,5,3,No,3.31,4.38,4.14,LOW,5.86,HIGH,3.62
CLG0009,118,5.91,5.98,10,Yes,5,4,0,No,4.6,2.33,4.09,LOW,5.91,HIGH,5.67
CLG0059,92,8.08,7.75,6,Yes,5,6,1,No,5.87,4.02,4.83,MEDIUM,5.17,MEDIUM,3.98
CLG0014,71,6.17,5.81,4,No,3,2,1,No,2.63,1.84,2.3,LOW,7.7,HIGH,6.16
CLG0031,109,5.4,5.52,4,No,10,8,3,No,1.96,7.51,4.95,MEDIUM,5.05,MEDIUM,0.49
CLG0088,90,5.0,4.81,7,No,3,6,4,No,2.2,6.02,4.13,LOW,5.87,HIGH,1.98
CLG0053,82,8.04,7.98,1,No,1,3,5,No,4.34,5.09,4.47,MEDIUM,5.53,MEDIUM,2.91
CLG0063,90,6.81,6.67,9,Yes,2,4,3,No,5.31,4.13,4.61,MEDIUM,5.39,MEDIUM,3.87
CLG0010,97,8.76,8.91,10,No,9,2,4,No,8.46,5.44,6.52,HIGH,3.48,LOW,2.56
CLG0043,90,6.88,6.85,3,No,5,4,3,No,3.49,4.73,4.13,LOW,5.87,HIGH,3.27
CLG0018,66,7.43,7.89,4,No,3,9,4,No,4.91,7.36,5.34,MEDIUM,4.66,MEDIUM,0.64
CLG0067,113,7.04,6.89,9,No,2,4,5,No,5.61,5.73,5.77,MEDIUM,4.23,MEDIUM,2.27
CLG0059,119,8.25,8.49,5,No,0,8,1,Yes,6.18,3.91,5.37,MEDIUM,4.63,MEDIUM,4.09
CLG0076,109,6.78,6.54,4,No,10,3,4,No,3.53,6.09,5.01,MEDIUM,4.99,MEDIUM,1.91
CLG0099,82,9.82,9.83,6,Yes,10,5,3,No,8.43,6.18,6.54,HIGH,3.46,LOW,1.82
CLG0023,96,9.68,9.73,1,No,10,2,2,No,6.61,4.04,5.2,MEDIUM,4.8,MEDIUM,3.96
CLG0086,99,9.24,9.07,10,No,2,9,3,Yes,8.86,6.36,7.08,HIGH,2.92,LOW,1.64
CLG0075,108,9.6,9.57,1,No,0,9,1,No,6.44,4.36,5.47,MEDIUM,4.53,MEDIUM,3.64
CLG0046,110,7.25,7.03,5,Yes,3,10,4,No,4.51,7.8,6.1,HIGH,3.9,LOW,0.2
CLG0049,88,7.68,7.19,5,No,3,7,4,No,4.88,6.47,5.34,MEDIUM,4.66,MEDIUM,1.53
CLG0023,101,8.71,8.43,9,No,10,2,4,No,7.74,5.64,6.38,HIGH,3.62,LOW,2.36
CLG0012,106,8.48,8.68,1,No,0,4,1,No,5.12,2.13,4.01,LOW,5.99,HIGH,5.87
CLG0029,121,9.45,9.72,3,No,6,6,5,Yes,7.13,7.42,7.19,HIGH,2.81,LOW,0.58
CLG0089,110,8.58,8.36,3,No,4,9,3,Yes,5.61,6.76,6.13,HIGH,3.87,LOW,1.24
CLG0088,111,9.99,9.9,4,No,0,6,4,Yes,7.92,5.42,6.53,HIGH,3.47,LOW,2.58
CLG0059,101,6.74,6.28,7,Yes,4,4,2,No,4.32,3.73,4.25,LOW,5.75,HIGH,4.27
CLG0053,121,9.16,8.9,7,Yes,6,1,5,Yes,7.69,5.2,6.52,HIGH,3.48,LOW,2.8
CLG0068,106,8.49,8.77,10,No,5,7,2,No,8.19,5.27,6.5,HIGH,3.5,LOW,2.73
CLG0063,87,8.46,8.57,5,Yes,9,7,0,No,6.36,4.47,5.12,MEDIUM,4.88,MEDIUM,3.53
CLG0029,121,6.63,6.34,9,No,4,6,2,No,4.96,4.62,5.2,MEDIUM,4.8,MEDIUM,3.38
CLG0003,110,8.93,8.69,7,Yes,7,3,0,No,7.4,2.29,5.06,MEDIUM,4.94,MEDIUM,5.71
CLG0095,93,9.5,9.82,2,Yes,8,5,4,No,6.9,6.58,6.28,HIGH,3.72,LOW,1.42
CLG0089,92,6.09,5.8,3,Yes,0,7,1,No,2.24,3.47,3.16,LOW,6.84,HIGH,4.53
CLG0037,104,8.13,7.96,7,No,5,6,1,No,6.38,4.02,5.24,MEDIUM,4.76,MEDIUM,3.98
CLG0063,106,6.96,7.12,5,No,1,7,1,No,4.4,3.67,4.34,MEDIUM,5.66,MEDIUM,4.33
CLG0023,102,9.95,10.0,7,No,7,5,4,No,8.97,6.38,7.18,HIGH,2.82,LOW,1.62
CLG0049,104,7.39,7.35,9,No,4,1,4,No,6.16,4.0,5.14,MEDIUM,4.86,MEDIUM,4.0
CLG0086,125,6.14,6.54,9,No,0,10,3,Yes,4.82,6.4,5.92,MEDIUM,4.08,MEDIUM,1.6
CLG0093,116,6.91,6.63,3,Yes,4,5,5,No,3.34,6.58,5.25,MEDIUM,4.75,MEDIUM,1.42
CLG0100,102,8.27,8.51,8,Yes,9,2,2,No,7.2,3.84,5.46,MEDIUM,4.54,MEDIUM,4.16
CLG0077,114,5.38,5.04,6,No,4,10,4,Yes,2.26,8.0,5.35,MEDIUM,4.65,MEDIUM,0.0
CLG0003,84,8.02,8.14,4,No,1,10,2,Yes,5.45,5.8,5.24,MEDIUM,4.76,MEDIUM,2.2
CLG0022,105,9.66,10.0,4,No,3,2,1,No,7.8,1.84,4.95,MEDIUM,5.05,MEDIUM,6.16
CLG0036,127,9.25,9.21,4,No,5,4,2,Yes,6.97,3.93,5.83,MEDIUM,4.17,MEDIUM,4.07
CLG0010,96,5.34,5.56,7,Yes,0,6,3,No,2.95,4.62,3.97,LOW,6.03,HIGH,3.38
CLG0009,87,9.97,10.0,6,Yes,10,5,1,No,8.65,4.58,6.08,HIGH,3.92,LOW,3.42
CLG0056,90,8.49,8.13,2,No,8,7,2,No,5.06,5.87,5.21,MEDIUM,4.79,MEDIUM,2.13
CLG0055,83,5.81,6.02,5,Yes,6,10,3,No,2.9,7.6,4.92,MEDIUM,5.08,MEDIUM,0.4
CLG0019,88,5.06,5.48,5,Yes,5,8,5,No,2.06,8.11,4.87,MEDIUM,5.13,MEDIUM,0.0
CLG0072,94,5.86,5.94,6,Yes,0,10,2,No,3.21,5.6,4.43,MEDIUM,5.57,MEDIUM,2.4
CLG0033,78,9.19,8.88,7,No,7,1,3,No,7.69,3.8,5.23,MEDIUM,4.77,MEDIUM,4.2
CLG0020,100,5.11,4.74,8,Yes,7,8,2,No,2.55,6.11,4.47,MEDIUM,5.53,MEDIUM,1.89
CLG0094,113,6.17,5.93,10,Yes,3,3,1,No,4.72,2.29,4.03,LOW,5.97,HIGH,5.71
CLG0035,86,8.79,8.39,8,No,3,10,1,No,7.43,5.4,5.9,MEDIUM,4.1,MEDIUM,2.6
CLG0031,122,7.93,7.94,5,Yes,0,10,0,No,5.58,4.0,5.22,MEDIUM,4.78,MEDIUM,4.0
CLG0083,107,8.91,8.48,2,Yes,8,2,3,No,5.57,4.44,5.13,MEDIUM,4.87,MEDIUM,3.56
CLG0050,115,8.73,8.45,10,Yes,7,2,2,Yes,8.1,3.44,5.88,MEDIUM,4.12,MEDIUM,4.56
CLG0046,90,5.25,5.19,8,Yes,9,5,5,No,2.96,7.58,5.05,MEDIUM,4.95,MEDIUM,0.42
CLG0078,112,9.46,9.43,6,No,6,2,2,Yes,7.93,3.24,5.68,MEDIUM,4.32,MEDIUM,4.76
CLG0010,83,6.14,6.21,3,Yes,1,4,2,No,2.57,3.13,3.0,LOW,7.0,HIGH,4.87
CLG0067,113,7.77,7.98,4,No,6,3,4,No,5.18,5.29,5.42,MEDIUM,4.58,MEDIUM,2.71
CLG0034,102,8.22,7.77,1,Yes,3,8,3,No,4.3,6.11,5.21,MEDIUM,4.79,MEDIUM,1.89
CLG0051,108,5.84,5.42,3,No,2,9,2,No,1.82,5.56,4.1,LOW,5.9,HIGH,2.44
CLG0092,82,9.88,9.44,4,No,10,6,0,No,7.52,4.22,5.4,MEDIUM,4.6,MEDIUM,3.78
CLG0083,86,7.44,7.36,2,No,9,4,1,No,3.86,3.93,3.89,LOW,6.11,HIGH,4.07
CLG0039,108,5.29,4.83,6,No,3,2,4,No,2.05,4.24,3.66,LOW,6.34,HIGH,3.76
CLG0090,85,9.69,9.94,8,Yes,9,8,4,Yes,9.1,8.11,7.64,HIGH,2.36,LOW,0.0
CLG0068,106,7.93,7.65,6,No,5,3,1,No,5.7,2.69,4.47,MEDIUM,5.53,MEDIUM,5.31
CLG0012,79,8.5,8.94,10,No,6,2,5,No,8.32,5.64,6.23,HIGH,3.77,LOW,2.36
CLG0026,112,7.63,7.62,3,No,1,4,5,No,4.5,5.53,5.23,MEDIUM,4.77,MEDIUM,2.47
CLG0071,81,9.17,9.12,9,Yes,6,2,4,No,8.52,4.84,6.03,HIGH,3.97,LOW,3.16
CLG0067,108,5.17,5.45,4,Yes,9,3,0,No,1.77,2.69,2.93,LOW,7.07,HIGH,5.31
CLG0090,109,6.34,6.55,6,No,1,9,0,No,3.94,3.76,4.24,LOW,5.76,HIGH,4.24
CLG0002,89,7.35,7.46,4,No,10,7,1,No,4.55,5.47,4.83,MEDIUM,5.17,MEDIUM,2.53
CLG0012,108,5.38,5.82,4,No,1,1,3,No,2.17,2.6,3.05,LOW,6.95,HIGH,5.4
CLG0059,103,8.53,8.45,2,No,0,10,5,Yes,5.32,8.0,6.39,HIGH,3.61,LOW,0.0
CLG0032,91,6.97,7.28,10,Yes,10,5,4,No,6.19,6.98,6.12,HIGH,3.88,LOW,1.02
CLG0051,84,6.36,6.24,2,No,6,5,2,No,2.39,4.58,3.52,LOW,6.48,HIGH,3.42
CLG0011,70,5.02,5.36,2,No,0,9,5,No,0.95,7.56,3.9,LOW,6.1,HIGH,0.44
CLG0032,105,8.6,8.36,2,No,2,1,2,No,5.29,2.0,4.01,LOW,5.99,HIGH,6.0
CLG0064,76,9.17,8.96,8,Yes,10,1,0,No,8.07,2.0,4.63,MEDIUM,5.37,MEDIUM,6.0
CLG0045,101,6.98,7.16,10,No,7,10,3,No,6.11,7.8,6.59,HIGH,3.41,LOW,0.2
CLG0079,96,7.82,7.53,4,Yes,0,7,3,No,4.88,5.07,4.92,MEDIUM,5.08,MEDIUM,2.93
CLG0054,110,6.14,5.87,4,No,5,7,5,No,2.66,7.67,5.31,MEDIUM,4.69,MEDIUM,0.33
CLG0006,95,8.11,7.92,10,No,1,8,4,No,7.34,6.51,6.46,HIGH,3.54,LOW,1.49
CLG0026,95,5.06,5.24,10,No,8,4,5,No,3.55,6.93,5.12,MEDIUM,4.88,MEDIUM,1.07
CLG0008,110,7.44,7.83,3,No,1,7,4,No,4.54,6.07,5.42,MEDIUM,4.58,MEDIUM,1.93
CLG0008,105,8.22,8.39,5,No,5,6,1,No,6.09,4.02,5.14,MEDIUM,4.86,MEDIUM,3.98
CLG0038,104,9.59,9.92,4,No,3,1,0,No,7.7,0.6,4.4,MEDIUM,5.6,MEDIUM,7.4
CLG0008,107,6.91,6.95,7,Yes,8,2,1,No,4.91,2.84,4.23,LOW,5.77,HIGH,5.16
CLG0017,76,8.83,8.4,10,No,0,8,1,No,8.13,3.91,5.41,MEDIUM,4.59,MEDIUM,4.09
CLG0083,111,7.99,7.59,7,No,0,6,3,No,6.03,4.62,5.46,MEDIUM,4.54,MEDIUM,3.38
CLG0003,109,9.64,9.69,6,Yes,9,7,4,No,8.22,7.67,7.52,HIGH,2.48,LOW,0.33
CLG0041,84,6.99,6.82,7,No,2,8,2,No,4.86,5.11,4.72,MEDIUM,5.28,MEDIUM,2.89
CLG0073,96,6.6,6.32,7,Yes,10,5,1,No,4.26,4.58,4.48,MEDIUM,5.52,MEDIUM,3.42
CLG0053,99,9.44,9.41,8,Yes,5,5,0,No,8.57,2.78,5.53,MEDIUM,4.47,MEDIUM,5.22
CLG0097,97,5.25,5.42,1,Yes,2,2,1,No,0.79,1.64,1.93,LOW,8.07,HIGH,6.36
CLG0096,105,5.68,5.56,3,No,6,4,2,No,1.82,4.13,3.47,LOW,6.53,HIGH,3.87
CLG0096,121,5.41,5.71,3,No,8,2,2,No,1.77,3.64,3.53,LOW,6.47,HIGH,4.36
CLG0070,116,9.22,9.46,5,No,9,7,0,No,7.47,4.47,6.06,HIGH,3.94,LOW,3.53
